birthday	blitz_games	blitz_k	blitz_rating	country	fideid	flag	games	k	name	o_title	rapid_games	rapid_k	rapid_rating	rating	sex	title	w_title
1959				IND	5049296		0	40	Kenkare, S H		0	20	1436	1387			
1959				IND	5049300				Kenkre, Shripad Hari								
				IRI	12510742				Keshawarz, Dawood								
1993				IND	5031257				Ketki, Pathak								
				BAN	10204350	i	0	40	Kh., Bulbul Ferdous Golap					1995			
				SYR	7601646				Khabbaz, Ratib								
				IRI	12510750				Khaghani, Milad								
				UAE	9303308				Khaled Ahmed, Khouri								
				UAE	9301810				Khalfan, Khamis								
				IRI	12506907				Khaligh Khiyavi, Shahriyar								
				BAN	10206086				Khan, Riaz Hossain								
	0	20	1622	IRI	12510793		0	40	Khodadadi, Dana					1551			
1979				RSA	14301016				Khuzwayo, Tb								
				IRI	12505374				Kia, F.								
				IRI	12507580		0	20	Kia, Fatemeh		0	20	1642	1706			
1956				GRE	4211952		0	40	Kilitsian, Mihran					1737			
1992				IND	5038537				Kishore, P.								
				IRI	12510831				Kohi, Anahita								
				GRE	4221834				Kolokotronis, Lampros								
				GRE	4221907				Kostopoulos, Dimos								
1989				IND	5049393				Kotak, Jay								
1995				CHN	8604630				Kou, Yingya								
				KGZ	13800647				Kozubai, Uglu A.								
				MAR	9001263				Kreked, Ali								
				GRE	4215028				Krimbogiannis, Ioannis								
				IND	5031273				Krishna, K.V.G.								
1967				IND	5033900				Krishna, Sai B.								
1942				IND	5049458				Krishnagi, Chandorkar V.								
1991				RSA	14301520	i	0	40	Kruger, Eitel					1769			
				ARG	117595				Kryskowski, Emanuel								
1990				IND	5031281				Kulkarni, Akshay								
				IND	5014166				Kulkarni, Umesh								
				IND	5049504				Kumal, Manoj								
1975				IND	5031290				Kunhikrishna, P.								
				SYR	7601778				Kurdi, Yaman ramsi								
				IND	5049598				Lad, Mayank								
1990				IND	5033918				Lahiri, Sushnato								
1993				IND	5049644				Lalhriatpuia								
				IND	5041740				Lalithkumar, B.R.								
1952				IND	5037255				Lall, Chiranji								
1993				IND	5049660				Lalruatsanga								
				IND	5049679				Lalthankima								
1976				GRE	4214820				Lambrakis, Harilaos								
				IRI	12506494				Lameei, Hadi								
				MAR	9001794				Lamribit, Iman								
1990				ARG	117145				Ledesma, Nahuel								
1959				IND	5035830				Leeladhar, Kachroo								
				PHI	5202370				Leo Daylo, Jr								
1970				RSA	14301024				Lewis, Hc								
1995				CHN	8604479	i	0	40	Li, Hanxiang					2073			
				CHN	8604444				Li, Panruo								
1950	0	20	1948	GRE	4209567		0	20	Liarokapis, Vlasios		0	20	2016	1947			
				RSA	14301415				Liederman, Ciaran								
				CHN	8604568				Lim, Yong-Kiang								
1960				IND	5049695				Limaye, C.								
				IND	5016134				Loankar, Swati						w		
				SRI	9902503				Lokuhitige, S.R.								
				ECU	3607054				Loor, Andrea								
				ARG	116670				Lopez Nocera, Venecia								
1968	0	20	2027	GRE	4204417		0	20	Loupos, Vasilios		0	20	2011	1974			
				ARG	173193				Lozeco, Polo								
				BOL	3301320				Luna, Rayza								
1955				IND	5037085				M, Sudarshan		0	20	1686				
				IND	5049822				M., Udaysgar								
				BAN	10206094				M.a., Aziz								
				IRI	12504971				Maaroofi, Jooya								
				IND	5030358				Madan, Bagaytkar								
				IND	5034094				Madhav, Nair								
1960				IND	5031311		0	40	Madhusoodanan, Namboodiri					1607			
				IND	5035350				Madhusudan, Iyer								
	7	20	1841	IRI	12510866		7	20	Mafi, Hooman					1876			
				IND	5049881				Mahale, Anand								
				IND	5049890		0	40	Mahamuni, Yogesh					1457			
				IND	5035848				Mahender, Bharadwaj								
1970				IND	5035856	i	0	40	Mahesh, Prasad Swarnkar					1883			
1962				IND	5049954				Maheswari, R K								
				IRI	12510874	i	0	40	Mahmoodi, Manouchehr					1827			
				IRI	12506931				Mahmoodiazar, Edris								
				IRI	12510882	i	0	40	Mahmoudzadeh, M.a.					1831			
				BAN	10204636				Mahmud, Hashim								
				IND	5030366				Malay, Trivedi								
				IRI	12510890	i	0	20	Maleki, Mir Mahdi		0	20	1746	1774			
				IRI	12510904	i	0	40	Maleki, Mohsen					2010			
	0	20	1778	CRC	6501192	i	0	40	Maltes, Sadrac					1769			
				IND	5049997				Malusare, Shubham								
1970				IND	5030811				Malvankar, Avinash								
				RSA	14300737				Mandizha, F.								
1947				IND	5036410				Manik, Ch. Ghosh								
				IND	5036429				Manjala, Solaman Raju								
1983				IND	5033926				Manjunath, Pai								
1968				IND	5033934				Manoj, Kumar Hota								
				MAR	9001077				Maras, Housni								
				GRE	4222261				Margomenos, Manolis								
				IRI	12504980				Mariouryad, Pouya								
1971				IND	5033950		0	40	Martin, Luther K.					1272			
				ARG	173231				Martinez, Zulma								
1955				IND	5030820	i	0	40	Maru, Shamji					1304			
				IRI	12505382				Mashreghi, A.								
				GRE	4222270				Masouras, Haralambos								
				GRE	4222296				Mastroginnis, Hristos								
				IND	5050200				Mavlankar, Vikram								
				IND	5050219				Mayank, Pundhir								
				YEM	9401490				Mazen, Qasem								
				GRE	4222326				Mbafas, Athanasios								
				GRE	4222334				Mbourhas, Orfefs								
1953				RSA	14301032				Mccallum, Br								
				BAN	10204920	i	0	40	Md., Aarash					1825			
				BAN	10206116				Md., Abdus Salam								
				IND	5031338				Md., Ashraf Subhani D.								
				BAN	10206124				Md., Farukur Rahman Bhuiyan								
				BAN	10204393				Md., Hasan Sardar								
1982				IND	5031346				Md., Imran Siddiqui								
				BAN	10204741				Md., Mahbub Paroruare								
				BAN	10204903				Md., Masum								
				BAN	10206159	i	0	40	Md., Moshtafizur Rahman					1736			
				BAN	10206175				Md., Nazrul Islam Nazu								
				BAN	10204121				Md., Raif Sheik								
				BAN	10204407				Md., Riaz Hossain								
				BAN	10204954				Md., Shadequl Islam Manik								
				BAN	10204776				Md., Shah Ahsanulla								
				BAN	10204784				Md., Tajbirul Alam								
				BAN	10206221				Md., Taybur Rahman Milon								
				ECU	3605353				Medina, Lissette								
				IRI	12510947				Meftah, M.taha								
				IND	5050324				Mehata, K.J.								
				IRI	12506940				Mehdipour, Reza								
				IRI	12510955	i	0	40	Mehdizadeh, Reza					2001			
				IRI	12506958		0	20	Mehrabi, Morteza		0	20	1987	1915			
				IRI	12506966		0	40	Mehrafarin, Amirabbas					1734			
				IRI	12510980				Mehrjerdi, Danial								
				IND	5041759				Mehta, Hardik								
				IND	5038588				Mehta, Kumar								
				IRI	12510998				Mesri, Javad								
				BAN	10204644				Miah, Md. Channu								
				USA	2026953				Michel, Christian								
				IRI	12511005				Mir Saied, Vahid Ghazi								
				IND	5050375				Mishra, Niloltpal								
				GRE	4212533				Mitshs, Ioannis								
				BOT	11300680				Moagi, Onkemetse								
1992				IND	5037280				Modak, Ankan								
				IRI	12505021				Modarresnia, A								
1953				IRI	12511048				Modirzadeh, Gholam								
				YEM	9401504				Mogahid, Saleh								
				BAN	10204962				Mohaimenul, Islam								
				IRI	12511056				Mohajer, Bijan								
				IRI	12505471				Mohajerani, S.M								
1984				RSA	14301040				Mohale, T								
				YEM	9401512				Mohamed, Yousif								
				AFG	11700556				Mohammad, Aslam Pasyar	IA							
				BAN	10206256				Mohammad, Mohasin								
				BAN	10206264				Mohammad, Nuruzzaman								
				BAN	10206272				Mohammad, Raju								
				BAN	10206280				Mohammad, Rokon								
				IND	5050413				Mohammad, Salim								
				IRI	12511064				Mohammadpour, Ehsan								
				YEM	9400850				Mohammed Zain, Sheikh								
				UAE	9302743				Mohammed, Abdulrahim								
				IND	5050430				Mohammed, Fahim								
				IND	5050448				Mohammed, Habib								
				UAE	9302549				Mohammed, Naser								
1994				IND	5039495				Mohan, Hari Hara Sudhan								
1968				IND	5035597	i	0	40	Mohan, Singh Dewat					1779			
				IND	5038723				Moharana, Ravindrakumar								
				IND	5039797				Mohd Ali, Bektash								
				MAS	5702356				Mohd, Zain Bin Omar								
				MAS	5702437				Mohd., Azizul Mat Daud								
				IND	5050510				Mohd., Tanvir								
				YEM	9401520	i	0	40	Mojahid, M.s.					2029			
	0	20	1899	IRI	12505030		9	20	Mokhberi, Iraj					1908			
				ARG	109185				Morasso, Javier								
1996				IND	5050588	i	0	40	More, Mayuri					1578			
				IRI	12511137				Mortazaei, S.r.								
				IRI	12511153	i	0	40	Mosaddeghpoor, Mohsen					1987			
				CHN	8604452				Mositafa								
				IRI	12507628				Mosleh, Hamzeh								
				MAR	9001018				Mouissou, Abdessalam								
				MRI	9700218				Moulay Brahim, Ould Hamam Fal								
				IRI	12511161				Mousavi, Amjad								
				ARG	173320		12	40	Moyano, Agustin					2003			
				IRI	12511170		0	20	Mozafar, Milad		0	20	1962	2013			
				YEM	9401539	i	0	40	Mqrmi, Murad					2001			
1992				IND	5033969				Mudhasir, Ahmed S.								
				SYR	7602375				Mufleh, Mouhanad								
				IND	5042127				Muhammed, Shihab T A								
				IND	5030951				Mukherjee, C.R.								
1958				IND	5050642		0	20	Mulay, Girish					1456			
				IND	5030838				Muley, Piyush								
				SRI	9902520				Munithunga, Kethmini								
				BAN	10204830	i	0	40	Murshed, Reza		0	20	1876	1891			
1959				IND	5030412		0	20	Murukan, M.K.					1555			
				IND	5036437				Murukesan, K.								
				PHI	5202280				Myco, Romasante								
				IND	5050693				N Rajashekhar								
				IRI	12506290	i	0	40	Nabati, Reza					1825			
1986				IND	5031370				Nachiket, Mukund Vanikar								
				IRI	12507032				Naderi, Bahram								
1954				IND	5050774		0	20	Naik, Uday		0	20	1213	1203			
				IRI	12507059				Najaryan, Ehsan								
				IND	5050812				Namwal, Himalaya								
				SRI	9902546				Nanayakkara, H. H.								
1985				IND	5034493				Nandan, Kumar								
				IND	5038545				Nandhini, Devi S.								
				IND	5042143				Nanthakumar, S								
1970				IND	5031389	i	0	40	Narasimha, Rao V.		0	20	1696	1748			
1985				IND	5031397				Narendra, Kumar								
				IND	5050928				Narkhade, Lokesh								
				YEM	9401547	i	0	40	Naser, Kamal					2121			
				IRI	12511250		0	40	Nateghi, Abdolreza					1707			
				IRI	12511269	i	0	40	Navarchi, Mehran					1894			
				IND	5035872				Naveen, K. Wal								
				BAN	10204792				Nazrul, IslamSajal								
1955				IND	5031400	i	0	20	Neelkanth, Meshram					1680			
				IND	5035490				Neelotpal, Baitheque								
				IND	5051045				Neha, Patankar								
				IND	5051061				Ng., Sumekmillan Singh								
				IND	5051070				Ng.Shanti, Kumar								
	0	20	1863	KEN	10800263				Nguku Namale, Ben								
1991				ARG	117919				Nicastro, Alan								
				IRI	12511285				Nikfarjam, Alireza								
				GRE	4214587				Nikolaidou, Eleftheria								
				GRE	4222474				Nikoleris, St								
1951				GRE	4208480		0	20	Nikolopoulos, Ilias					1775			
1992				IND	5033640				Nilabhro, Datta								
1988				IND	5030420				Niraj, Nitin Gabhane								
